"Keyword","Scopus","IFSMS"
"CLINICAL SAMPLES",1,1
"CLINICAL SAMPLES, FORENSIC SAMPLES",1,NA
"CLINICAL SETTING",1,NA
"CLINICAL STUDIES",1,NA
"CLINICAL STUDY",1,NA
"CLINICAL SUPERVISION",1,NA
"CLINICAL SYMPTOMS",1,1
"CLINICAL TEST FOR IMPAIRMENT",1,NA
"CLINICAL TEST OF IMPAIRMENT",2,NA
"CLINICAL TESTING",1,NA
"CLINICAL TOXICOLOGY",41,3
"CLINICAL TOXICOLOGY < TOXICOLOGY",1,NA
"CLINICAL TOXICOLOGY.3",1,NA
"CLINICAL TREATMENT",1,NA
"CLINICAL TRIAL",2,1
"CLINICAL USE",1,NA
"CLINICAL/BIOMEDICAL ANALYSIS",3,1
"CLIPPINGS",1,NA
"CLOBAZAM",1,2
"CLOBAZAM, DETECTION",1,NA
"CLOBENZOREX",2,NA
"CLOBUTINOL",1,NA
"CLOCAPRAMINE",1,NA
"CLOMETHIAZOL INTOXICATION, CHEMICAL ANALYSIS",1,NA
"CLOMETHIAZOLE, DETECTION IN URINE",1,NA
"CLOMIPRAMINE",1,NA
"CLONALITY TESTING",1,NA
"CLONAZEPAM",17,7
"CLONAZOLAM",2,1
"CLONIDINE",1,NA
"CLONIDINE HYDROCHLORIDE",1,NA
"CLONIPRAZEPAM",1,NA
"CLORAZEPATE",1,NA
"CLOSED-SET IDENTIFICATION",1,NA
"CLOSED HEAD INJURY",2,NA
"CLOSED PRISON",1,NA
"CLOSTEBOL",1,NA
"CLOSTRIDIUM",2,NA
"CLOTHIAPINE",1,NA
"CLOTHING",5,1
"CLOTHING AND OTHER FABRICS",1,1
"CLOTHS",1,NA
"CLOTIAPINE",1,NA
"CLOUD FORENSIC",1,NA
"CLOUD POINT EXTRACTION",3,5
"CLOUD STORAGE APPLICATION FORENSICS",1,NA
"CLOUDS",1,NA
"CLOZAPIN",1,NA
"CLOZAPINE",40,NA
"CLOZAPINE-N-OXIDE",2,NA
"CLOZAPINE TOXICITY: NAÏVE SUBJECTS",1,NA
"CLOZAPINE.",1,NA
"CLOZAPINE/",1,NA
"CLOZAPINE: POST MORTEM TOXICOLOGY",1,NA
"CLOZAPINE: SUDDEN DEATH",1,NA
"CLP",1,NA
"CLUB DRUGS",7,9
"CLUSTER",2,2
"CLUSTER ANALYSIS",12,12
"CLUSTER B PERSONALITY DISORDERS",1,NA
"CLUSTER OF NODES",1,NA
"CLUSTERED PROTOCADHERINS",1,NA
"CLUSTERIN",1,NA
"CLUSTERING",5,1
"CLUSTERING ALGORITHMS",1,NA
"CLUSTERS",2,NA
"CMX-4",2,NA
"CMX-5",1,NA
"CN STATIONARY PHASE",1,1
"CN YELLOW CRYSTALS",1,NA
"CNS",2,2
"CNS PATHOLOGY",1,NA
"CNS STIMULANT MEDICINE",1,NA
"CNS STIMULANTS",1,NA
"CNS TOXICITY",1,NA
"CNV",1,NA
"CNVS",1,NA
"CO-ADMINISTRATION",1,NA
"CO-CRYSTALS",1,1
"CO-EXPOSURE",1,NA
"CO-EXTRACTION",1,NA
"CO-HB SATURATION LEVEL",1,NA
"CO-MEDICATION",1,NA
"CO-MORBIDITY",8,NA
"CO-OCCURRENCE",1,NA
"CO-OCCURRENCES",1,1
"CO-OCCURRING DISORDERS",1,NA
"CO-OPERATION",1,NA
"CO-OXIMETRY",1,NA
"CO I",1,NA
"CO II",1,NA
"CO INTOXICATION",1,NA
"CO1 GENE",1,NA
"COADMINISTERED DRUGS",1,NA
"COAGULATION",1,NA
"COAGULATION TEST",1,NA
"COAGULOPATHY",1,NA
"COAMPLIFICATION",1,NA
"COATED CAPILLARIES",1,1
"COATING",1,NA
"COBALT-CYANIDE COMPLEXES",1,NA
"COBALT CHLORIDE",1,NA
"COBALT HEXACYANOFERRATE",1,1
"COBALT THIOCYANATE",3,4
"COC",1,NA
"COCA ALKALOIDS",1,2
"COCA CHEWER",1,NA
"COCA CHEWING",2,2
"COCA LEAF",1,6
"COCA SEEDS",1,1
"COCA TEA",1,NA
"COCAETHYLENE",18,4
"COCAETHYLENE FORMATION",1,NA
"COCAINE-RELATED CASES",1,NA
"COCAINE-RELATED DISORDERS",1,NA
"COCAINE ABUSE",3,1
"COCAINE ADULTERANTS",1,NA
"COCAINE ANALYSIS",1,NA
"COCAINE AND ALCOHOL",1,NA
"COCAINE AND DERIVATIVES",350,273
"COCAINE AND METABOLITES",2,1
"COCAINE BASE",2,3
"COCAINE BODY PACKER",1,NA
"COCAINE CARDIOTOXICITY",1,NA
"COCAINE CONGENERS",1,NA
"COCAINE CONSUMPTION",1,1
"COCAINE DEATHS",2,NA
"COCAINE DERIVATIVES",1,NA
"COCAINE HYDROCHLORIDE",5,13
"COCAINE IDENTIFICATION",1,1
"COCAINE IMPREGNATED TEXTILES",1,1
"COCAINE IMPURITIES",1,2
"COCAINE INTOXICATION",1,NA
"COCAINE MARKERS",2,1
"COCAINE METABOLITE",2,1
"COCAINE METABOLITES",9,NA
"COCAINE POISONING",1,NA
"COCAINE PSYCHOSIS",1,NA
"COCAINE PURITY",1,NA
"COCAINE SALT",1,2
"COCAINE SIGNATURES",1,1
"COCAINE TOXICITY",2,NA
"COCAINE USE",2,NA
"COCAINE, GAS CHROMATOGRAPHY/MASS SPECTROMETRY",1,NA
"COCAINE, OPIATES",1,NA
"COCAINE/CRACK",1,1
"COCAINICS",1,NA
"COCHLIOMYIA HOMINIVORAX",1,NA
"CODAMINE",1,1
"CODEINE",50,53
"CODEINE-RELATED DEATH",1,NA
"CODEINE DEMETHYLATION",1,NA
"CODEINE TOXICITY",1,NA
"CODEINE, EXAMINATION IN BLOOD SAMPLES",1,NA
"CODING",1,NA
"CODING REGION SNPS (CSNPS)",1,NA
"CODIS MARKERS",1,NA
"COERCED DRUG TREATMENT",1,NA
"COERCED TREATMENT FOR OFFENDERS",1,NA
"COERCION",10,NA
"COERCIVE CARE",1,NA
"COERCIVE MEASURES",3,NA
"COERCIVE TREATMENT",2,NA
"COFFEE",1,1
"COGNITION",3,1
"COGNITIVE-BEHAVIORAL THERAPY",1,NA
"COGNITIVE AND EMOTION REGULATION",1,NA
"COGNITIVE AND VOLITIONAL DEFICITS",1,NA
"COGNITIVE BEHAVIORAL THERAPY (CBT)",1,NA
"COGNITIVE BEHAVIOURAL THERAPY",1,NA
"COGNITIVE BIAS",2,NA
"COGNITIVE EFFECTS",1,NA
"COGNITIVE ENHANCEMENT",3,NA
"COGNITIVE FUNCTION",3,NA
"COGNITIVE IMPAIRMENT",1,NA
"COGNITIVE LOAD",1,NA
"COGNITIVE MODULE",1,NA
"COGNITIVE PERFORMANCE",2,NA
"COGNITIVE PSYCHOLOGY",1,NA
"COGNITIVE SKILLS",1,NA
"COGNITIVE THERAPY",1,NA
"COHB",1,NA
"COHORT STUDIES",2,NA
"COHORT STUDY",3,NA
"COI",3,NA
"COINGREDIENTS",1,1
"COINTOXICANT",1,NA
"COITAL DEATH",1,NA
"COL3A1 GENE",1,NA
"COLATYPE DRINKS",1,NA
"COLCHICINE",9,NA
"COLCHICINE POISONING",1,NA
"COLCHICINE POISONING, SERUM LEVELS",1,NA
"COLCHICUM AUTUMNALE",2,NA
"COLD-EI",1,NA
"COLD CASES",1,NA
"COLD DRINKS",1,NA
"COLD ELECTRON IONIZATION",2,NA
"COLD ELECTRON IONIZATION MASS SPECTROMETRIC DETECTION",1,1
"COLD EXPOSURE",1,NA
"COLD TOLERANCE, DIAZEPAM",1,NA
"COLEOPTERA",4,NA
"COLGATE",1,NA
"COLLABORATIVE MATERIALS EXERCISE (CMX)",1,NA
"COLLABORATIVE STUDY",1,NA
"COLLAGEN",1,NA
"COLLAGEN DEGRADATION",1,NA
"COLLATERAL CONSEQUENCES",1,NA
"COLLATERAL VICTIMS",1,NA
"COLLECTING AND INSTRUMENTAL TECHNIQUES",1,NA
"COLLECTING ORGANS AND TISSUES",1,NA
"COLLECTION",1,NA
"COLLECTION DEVICES",1,NA
"COLLECTION OF SALIVA",1,NA
"COLLECTION PROTOCOLS",1,NA
"COLLECTION TIME",1,NA
"COLLECTION TUBES",1,NA
"COLLEGE-AGE",1,NA
"COLLISION-INDUCED DISSOCIATION",3,8
"COLLOID",2,NA
"COLLOIDAL ASSEMBLY",1,1
"COLLOIDAL GOLD",3,1
"COLLOIDAL NANOPARTICLES",1,NA
"COLLOIDAL SUSPENSIONS",1,NA
"COLOCYNTH (BITTER APPLE)",1,NA
"COLOMBIA",1,2
"COLOMBIAN ARMED CONFLICT",1,NA
"COLONIC PERFORATION",1,NA
"COLONIZATION",1,NA
"COLOR MEASUREMENT",1,NA
"COLOR REACTION",2,1
"COLOR SPOT TEST",1,1
"COLOR STABILITY",1,NA
"COLOR TEST",10,9
"COLOR TEST ETC",1,NA
"COLORASSIST®",1,NA
"COLORECTAL CANCER",1,NA
"COLORED SILICONE INJECTION",1,NA
"COLORIMETRIC",4,1
"COLORIMETRIC ASSAY",1,2
"COLORIMETRIC DETECTION",4,6
"COLORIMETRIC NANOARRAY",1,1
"COLORIMETRIC PAPER-BASED DEVICES",1,NA
"COLORIMETRIC SENSOR",2,2
"COLORIMETRIC SENSOR ARRAY",1,NA
"COLORIMETRIC TEST",5,3
"COLORIMETRY",3,9
"COLOUR",3,4
"COLOUR EXAMINATION",1,NA
"COLOUR SPOT TEST",1,NA
"COLOUR TEST ETC",1,NA
"COLOUR TESTS",2,NA
"COLUMN",1,NA
"COLUMN-SWITCHING CHROMATOGRAPHY",1,1
"COLUMN-SWITCHING LC-MS",1,NA
"COLUMN-SWITCHING SOLID-PHASE EXTRACTION",1,NA
"COLUMN CHROMATOGRAPHY",1,1
"COLUMN COMPARISON",1,NA
"COLUMN EXTRACTION",1,NA
"COLUMN ION CHROMATOGRAPHY-MASS SPECTROMETRY",1,NA
"COLUMN LIQUID CHROMATOGRAPHY",4,22
"COLUMN LIQUID CHROMATOGRAPHY-MASS SPECTROMETRY",1,1
"COLUMN SWITCHING",7,6
"COLUMN SWITCHING HPLC",1,NA
"COLUMN TECHNOLOGY",1,NA
"COLUMNAR THIN FILM (CTF)",1,NA
"COMA BLISTER",1,NA
"COMA BLISTERS",2,NA
"COMA DÉPASSÉ",1,NA
"COMATOSE",1,NA
"COMBINATION ANTIPSYCHOTICS",1,NA
"COMBINATION DEPOT",1,NA
"COMBINATION OF LABORATORY PARAMETERS",1,NA
"COMBINED CLUSTER AND DISCRIMINANT ANALYSIS",1,NA
"COMBINED CONCENTRATION",1,NA
"COMBINED METHODS",1,NA
"COMBINED PATERNITY INDEX",1,NA
"COMBINED POISONING",1,NA
"COMBINED RADIONUCLIDE ANALYSIS",1,NA
"COMBINED TREATMENT",1,NA
"COMBINED VALUE (GLUCOSE/LACTATE) IN BLOOD",1,NA
"COMBUSTION PRODUCTS OF FIBERS",1,NA
"COMMAND HALLUCINATIONS",1,NA
"COMMEMORATIVE",1,NA
"COMMENTARY",1,NA
"COMMERCIAL OFF-THE-SHELF",1,1
"COMMERCIAL RODENTICIDE",1,NA
"COMMERCIAL VEHICLE AIR MONITORING",1,NA
"COMMERCIALIZATION",1,NA
"COMMITMENT",2,NA
"COMMITMENT IN AN INSTITUTION FOR DRUG TREATMENT",1,NA
"COMMITMENT LAW",1,NA
"COMMITMENT OF MENTALLY ILL",1,NA
"COMMITMENT OF THE MENTALLY ILL",1,NA
"COMMITMENT TO MENTAL HOSPITAL",1,NA
"COMMON BATCH",1,1
"COMMON FACTORS",1,NA
"COMMOTIO",1,NA
"COMMOTIO CORDIS",1,NA
"COMMUNICATION",2,1
"COMMUNICATION APPS",1,NA
"COMMUNITY",2,NA
"COMMUNITY-BASED MENTAL HEALTH",1,NA
"COMMUNITY-BASED MENTAL HEALTH CARE",1,NA
"COMMUNITY CORRECTIONS",1,NA
"COMMUNITY CRIME",1,NA
"COMMUNITY DENTISTRY",1,NA
"COMMUNITY FORENSIC SERVICE",1,NA
"COMMUNITY FORENSIC TEAM",2,NA
"COMMUNITY MENTAL HEALTH",3,NA
"COMMUNITY POLICING",1,NA
"COMMUNITY PSYCHIATRY",2,NA
"COMMUNITY SEX OFFENDER TREATMENT",1,NA
"COMMUNITY STUDIES",1,NA
"COMMUNITY TEAMS",1,NA
"COMMUNITY TREATMENT",1,NA
"COMORBID",1,NA
"COMORBID SUBSTANCE MISUSE",1,NA
"COMORBIDITIES",2,NA
"COMORBIDITY",19,NA
"COMORBIDITY AND CRIME",1,NA
"COMORBIDITY WITH PERSONALITY DISORDER",1,NA
"COMPACT MASS SPECTROMETRY",1,1
"COMPARATIVE CRIMINOLOGY",1,NA
"COMPARATIVE EVALUATION",2,NA
"COMPARATIVE SEQUENCING",1,NA
"COMPARATIVE STUDY",9,7
"COMPARED TO OTHER COUNTRIES",1,NA
"COMPARING NORDIC COUNTRIES",1,NA
"COMPARISON",6,7
"COMPARISON METRICS",1,NA
"COMPARISON OF SEIZURES",1,1
"COMPARISON PROCESS",1,1
"COMPARISON SAMPLES",1,NA
"COMPARTMENT",1,NA
"COMPARTMENT SYNDROME",1,NA
"COMPENSATION AND REDRESS",2,NA
"COMPENSATION NEUROSIS",1,NA
"COMPETENCE",1,NA
"COMPETENCE TO STAND TRIAL",1,NA
"COMPETENCY",3,NA
"COMPETENT AUTHORITIES",1,NA
"COMPETING RISKS",1,NA
"COMPETITIVE ENZYME IMMUNOASSAY",1,NA
"COMPETITIVE IMMUNOASSAY",1,1
"COMPLEMENT",1,NA
"COMPLETE ANTIGEN",1,NA
"COMPLETE INTOXICATION",1,NA
"COMPLETED SUICIDE",2,NA
"COMPLEX BEHAVIOUR",1,NA
"COMPLEX MATRICES",2,NA
"COMPLEX MIXTURE",2,NA
"COMPLEX MIXTURES",1,1
"COMPLEX NETWORKS",1,NA
"COMPLEX POISONINGS",1,NA
"COMPLEX REGIONAL PAIN SYNDROME",1,NA
"COMPLEX SAMPLE",1,NA
"COMPLEX SUICIDE",6,NA
"COMPLEX SUICIDE, UNPLANNED",1,NA
"COMPLEX TRAITS",1,NA
"COMPLEXATION",1,1
"COMPLIANCE",9,1
"COMPLIANCE MONITORING",2,NA
"COMPLIANCE TESTING",1,NA
"COMPLIANCE TESTING, IMPAIRMENT AND EMPLOYMENT TESTING",1,NA
"COMPLIANCE WITH ANTIHYPERTENSIVE TREATMENT",1,NA
"COMPLICATED SUICIDE",1,NA
"COMPLICATION",4,NA
"COMPLICATION/ERROR",1,NA
"COMPLICATIONS",2,2
"COMPLICATIONS TUMESCENCE",1,NA
"COMPONENT ANALYSIS",4,1
"COMPONENT RECOGNITION",1,NA
"COMPORTEMENT VIOLENT",1,NA
"COMPOSITE",1,1
"COMPOSITE PROPELLANTS",1,NA
"COMPOSITE SAMPLING",1,NA
"COMPOSITION BY NUMBER",1,NA
"COMPOSITION C-4",1,NA
"COMPOSITIONAL ANALYSIS",1,NA
"COMPOUND-SPECIFIC ISOTOPE ANALYSIS",1,1
"COMPOUND-SPECIFIC ISOTOPE RATIOS",1,2
"COMPOUND CROSSBOW",1,NA
"COMPOUND DATABASE",1,NA
"COMPOUND FLUORESCENCE RT-PCR",1,NA
"COMPOUND GENETIC MARKER",1,NA
"COMPOUND IDENTIFICATION",3,1
"COMPOUND SPECIFIC ISOTOPE RATIO MASS SPECTROMETRY",1,NA
"COMPOUNDS",2,NA
"COMPOUNDS IDENTIFICATION",1,NA
"COMPREHENSIVE ANALYTICAL CHARACTERISTICS",1,NA
"COMPREHENSIVE GC",1,NA
"COMPREHENSIVE INVESTIGATION",1,NA
"COMPREHENSIVE TOXICOLOGICAL AND FORENSIC DRUG SCREENING",1,1
"COMPREHENSIVE TWO-DIMENSIONAL GAS CHROMATOGRAPHY",4,9
"COMPREHENSIVE TWO-DIMENSIONAL GAS CHROMATOGRAPHY-TIME-OF-FLIGHT MASS SPECTROMETRY",1,1
"COMPREHENSIVE TWO DIMENSIONAL GC",1,NA
"COMPRESSION",2,2
"COMPRESSION GAIN",1,NA
"COMPRESSION RATIO",1,NA
"COMPULSARY DRUG TREATMENT",1,NA
"COMPULSION",1,NA
"COMPULSION TO USE",1,NA
"COMPULSIVE CHARACTER",1,NA
"COMPULSIVE SEXUAL BEHAVIOUR",1,NA
"COMPULSORY ADDICTION TREATMENT",1,NA
"COMPULSORY ADMISSION",3,NA
"COMPULSORY CARE",1,NA
"COMPULSORY COMMITMENT TO CARE",3,NA
"COMPULSORY COMMUNITY TREATMENT",1,NA
"COMPULSORY MEASURES",2,NA
"COMPULSORY TREATMENT",7,NA
"COMPUTATION",1,NA
"COMPUTATIONAL",1,NA
"COMPUTATIONAL BIOLOGY",2,1
"COMPUTATIONAL MODELLING",1,NA
"COMPUTED TOMOGRAPHY",15,NA
"COMPUTED TOMOGRAPHY (CT)",1,NA
"COMPUTED TOMOGRAPHY IMAGING",1,NA
"COMPUTER-AUTOMATED EXTRACTION",1,NA
"COMPUTER AID",1,1
"COMPUTER AIDED DESIGN (CAD)",1,NA
"COMPUTER CRIME",1,NA
"COMPUTER INFORMATION",1,NA
"COMPUTER RECORD LINKAGE",1,NA
"COMPUTER RETRIEVAL",1,NA
"COMPUTER SIMULATIONS",1,NA
"COMPUTER STORAGE",1,NA
"COMPUTER TOMOGRAPHY",2,NA
"COMPUTER, ANALYTIC TOXICOLOGY",2,NA
"COMPUTERIZED PHYSICIAN ORDER ENTRY SYSTEM",1,NA
"COMPUTERIZED TOMOGRAPHY",1,1
"COMPUTERS",1,NA
"COMPUTING",1,NA
"COMQUOL",1,NA
"COMT",1,NA
"CONCEALMENT LOCATIONS",1,NA
"CONCEALMENT TECHNIQUES",1,1
"CONCENTRATION",5,3
"CONCENTRATION-SYNCHRONOUS-MATRIX-FLUORESCENCE (CSMF)",1,NA
"CONCENTRATION DISTRIBUTION",1,NA
"CONCENTRATION IN BLOOD",1,NA
"CONCENTRATION MEASUREMENT",1,NA
"CONCENTRATION PER SE LIMITS",1,NA
"CONCENTRATION RATIO",1,NA
"CONCENTRATION, BODY FLUIDS",1,NA
"CONCENTRATIONS",8,NA
"CONCENTRATIONS OF DRUGS IN MUSCLES",1,NA
"CONCENTRATIONS OF THCCOOH",1,NA
"CONCEPT DETECTION",1,NA
"CONCEPT OF MENTAL HEALTH",1,NA
"CONCEPTUAL ANALYSIS",1,NA
"CONCEPTUAL GEOLOGICAL MODEL (CGM)",1,NA
"CONCLUSIVE TESTS",1,NA
"CONCOMITANT DRUG USE",1,NA
"CONCORDANCE",1,NA
"CONCURRENT VALIDITY",1,NA
"CONCUSSION INJURY",1,NA
"CONDEMNED PERSON",1,NA
"CONDENSED PHASE",1,1
"CONDITIONAL DISCHARGE",3,NA
"CONDITIONAL PLACE PREFERENCE (CPP)",1,NA
"CONDITIONAL REDUCED MOBILITY",1,NA
"CONDOM",1,NA
"CONDOMS",3,NA
"CONDUCT DISORDER",6,NA
"CONDUCT PROBLEM",1,NA
"CONDUCTED ELECTRICAL WEAPON",2,NA
"CONDUCTED ENERGY DEVICE",1,NA
"CONDUCTED ENERGY WEAPON",4,NA
"CONDUCTING POLYMER THIN FILMS",1,NA
"CONDUCTING POLYMERS",2,5
"CONDUCTION",1,NA
"CONDUCTIVE POLYMER",1,1
"CONDUCTIVE POLYMERS",1,NA
"CONDUCTIVITY",1,NA
"CONDUCTIVITY METHOD",1,NA
"CONDUCTOMETRIC TITRATION",1,NA
"CONDYLOMA ACUMINATA",1,NA
"CONE BEAM COMPUTED TOMOGRAPHY",1,NA
"CONFESSIONS",1,NA
"CONFIDENCE INTERVAL",2,1
"CONFIDENCE INTERVALS",2,NA
"CONFIDENTIAL PHYSICAL EXAMINATION",1,NA
"CONFIDENTIALITY",1,NA
"CONFIRMATION",6,5
"CONFIRMATION ANALYSIS",1,NA
"CONFIRMATION ASSAY",1,NA
"CONFIRMATION CRITERIA",1,NA
"CONFIRMATION METHOD",2,NA
"CONFIRMATION TESTING",2,NA
"CONFIRMATION TESTS",3,NA
"CONFIRMATORY ANALYSIS",1,NA
"CONFIRMATORY EVIDENCES",1,NA
"CONFIRMATORY TESTS",2,1
"CONFISCATED DRUG",1,2
"CONFOCAL LASER SCANNING MICROSCOPE",1,NA
"CONFOCAL MICROSCOPY",1,NA
"CONFOCAL RAMAN MICROSCOPY",2,3
"CONFOCAL RAMAN MICROSCOPY, DRUGS IN FINGERPRINTS, CYANOACRYLATE-FUMED FINGERPRINTS",1,NA
"CONFORMATION",1,3
"CONFORMATIONAL ENANTIOMERS",1,2
"CONFORMERS",1,NA
"CONFOUNDING",1,NA
"CONFUSION",1,NA
"CONFUSIONAL AROUSALS",1,NA
"CONGENER ALCOHOLS",1,NA
"CONGENER ANALYSIS",2,NA
"CONGENER SUBSTANCES IN ALCOHOLIC BEVERAGES",1,NA
"CONGENERS",1,NA
"CONGENITAL ANOMALY",1,NA
"CONGENITAL HEART DISEASE",1,NA
"CONGENITAL TOXOPLASMOSIS",1,NA
"CONGESTIVE CARDIOMYOPATHY",1,NA
"CONJUGATE METABOLITE",1,NA
"CONJUGATED POLYMER NANOPARTICLES",1,NA
"CONJUGATED STEROIDS",1,NA
"CONJUGATION",1,NA
"CONNEXIN 43 (CX43)",1,NA
"CONSCIOUS SEDATION",1,NA
"CONSCRIPTION CANDIDATES",1,NA
"CONSENSUAL INTERCOURSE",1,NA
"CONSENSUS",2,NA
"CONSENSUS GUIDELINES",3,NA
"CONSENSUS GUIDELINES, DRUG ANALYSIS",1,NA
"CONSENT",5,NA
"CONSIDERATION OF CLOSE CHILD CONTACTS",1,NA
"CONSTITUTIONAL BASIS OF RIGHT TO REFUSE PSYCHOLOGICAL TREATMENT, INVOLUNTARILY COMMITTED PSYCHIATRIC PATIENTS",1,NA
"CONSTITUTIONAL DESCRIPTORS",2,2
"CONSTRICTED FIELDS",1,NA
"CONSTRUCTED WETLAND TREATMENT SYSTEM",1,NA
"CONSULTATION",1,NA
"CONSULTATION/LIAISON SERVICE",1,NA
"CONSULTATIONS",1,NA
"CONSUMER",1,NA
"CONSUMER BEHAVIOUR",1,NA
"CONSUMER FIREWORK",1,NA
"CONSUMER FIREWORKS",1,NA
"CONSUMER RECOVERY",1,NA
"CONSUMPTION",2,7
"CONSUMPTION FREQUENCY",1,NA
"CONSUMPTION MARKER",1,1
"CONSUMPTION MONITORING",1,NA
"CONSUMPTION PATTERNS",1,NA
"CONSUMPTION TIME",1,NA
"CONTACT TRACES",2,NA
"CONTACTLESS",1,NA
"CONTACTLESS CONDUCTIVITY DETECTION",4,6
"CONTACTLESS DISTRIBUTION SCHEMES",1,NA
"CONTAINERS",1,NA
"CONTAMINANT",3,6
"CONTAMINATED HEPARIN",1,NA
"CONTAMINATED SITES",1,NA
"CONTAMINATION",27,10
"CONTAMINATION OF CURRENCY",1,1
"CONTAMINATION SOURCES CHARACTERIZATION",1,NA
"CONTENT-BASED IMAGE RETRIEVAL (CBIR)",1,NA
"CONTENT FORENSICS",1,NA
"CONTENT IN INTERNAL ORGANS",1,NA
"CONTENT INSPECTION",1,NA
"CONTENTS BASED INFORMATION RETRIEVAL",1,NA
"CONTEXT",1,NA
"CONTEXTUAL BIAS",2,1
"CONTEXTUAL INFORMATION",1,NA
"CONTEXTUALIZATION",1,NA
"CONTINGENCY MANAGEMENT",2,NA
"CONTINUING EDUCATION",1,NA
"CONTINUITY OF HEALTHCARE",1,NA
"CONTINUOUS MODEL",1,NA
"CONTINUOUS MODELS",1,NA
"CONTINUOUS POSITIVE AIRWAY PRESSURE (CPAP)",1,NA
"CONTINUOUS SUBCUTANEOUS INSULIN INFUSION",1,NA
"CONTINUUM OF CONVENTIONALITY",1,NA
"CONTOUR-SHAPE",1,NA
"CONTOUR ANGLE",1,NA
"CONTRACEPTION",1,NA
"CONTRACTION BAND NECROSIS",3,NA
"CONTRAINDICATIONS",1,NA
"CONTRAST AGENTS",1,NA
"CONTRAST MATERIAL",2,NA
"CONTRAST MEDIA",1,NA
"CONTRAST MEDIUM",1,NA
"CONTRIBUTION",1,NA
"CONTROL",2,1
"CONTROL CHECK OF FORENSIC WORK",1,NA
"CONTROL REGION",1,NA
"CONTROL SAMPLE",1,NA
"CONTROL WITH X-RAYS",1,NA
"CONTROLLED ADMINISTRATION",2,NA
"CONTROLLED DANGEROUS SUBSTANCES (""""CDS"""")",1,NA
"CONTROLLED DOSING",1,NA
"CONTROLLED DRUGS",5,2
"CONTROLLED MEDICATION SUBSTANCES",1,NA
"CONTROLLED ODOR MIMIC PERMEATION SYSTEM",1,NA
"CONTROLLED PRESCRIPTION DRUG ABUSE",1,NA
"CONTROLLED SUBSTANCES",30,26
"CONTROLLED TRIALS",1,NA
"CONTROVERSY",1,NA
"CONTUSED SKELETAL MUSCLE",1,NA
"CONTUSIO CORDIS",1,NA
"CONTUSIONS",1,NA
"CONVERSION",1,1
"CONVERSION FACTOR",1,NA
"CONVERTION FACTOR",1,NA
"CONVICTION",1,NA
"COOK COUNTY",1,1
"COOLING DATA",1,NA
"COOMASSIE BRILLIANT BLUE",1,NA
"COOPERATION",1,NA
"COORDINATOR",1,NA
"COPING",1,NA
"COPING ABILITY",1,NA
"COPING BEHAVIOR",1,NA
"COPING STRATEGIES",1,NA
"COPING STYLES",1,NA
"COPPER",2,1
"COPPER PHTHALOCYANINE",1,NA
"COPY NUMBER VARIANTS (CNV)",1,NA
"CORE-SHELL COLUMN",1,NA
"CORE COMPETENCIES",1,NA
"CORE CONTENT",1,NA
"CORHYDRON",2,NA
"CORICIDIN",1,NA
"CORN OIL INJECTIONS",1,NA
"CORNEAL THICKNESS",1,NA
"CORNEOCYTES",1,NA
"CORNEODESMOSIN",1,NA
"CORONA CHARGED AEROSOL DETECTION",2,NA
"CORONA VIRUS DISEASE 2019",1,NA
"CORONARY ANGIOGRAPHY",1,NA
"CORONARY ARTERY",5,NA
"CORONARY ARTERY DISEASE",2,NA
"CORONARY ATHEROSCLEROSIS",1,NA
"CORONARY DISEASE",1,NA
"CORONARY SCLEROSIS",1,NA
"CORONARY THROMBOSIS",3,NA
"CORONER",7,NA
"CORONER'S COURT",1,NA
"CORONER'S INQUIRY",1,NA
"CORONER'S VERDICT",1,NA
"CORONER AND MEDICAL EXAMINER",1,NA
"CORONER RECORDS",1,NA
"CORONERS",2,NA
"CORONERS ACT 2006 (NZ)",1,NA
"CORONERS AND MEDICAL EXAMINERS",5,NA
"CORONIAL AUTOPSY",2,NA
"CORPORATE LOGOS",1,NA
"CORPSE",1,NA
"CORPSE DECOMPOSITION",1,NA
"CORPUS LINGUISTICS",1,NA
"CORRECTED R(F)-VALUE",1,NA
"CORRECTION METHOD",1,NA
"CORRECTIONAL ADAPTATION",1,NA
"CORRECTIONAL CENTRES",1,NA
"CORRECTIONAL FACILITIES",1,NA
"CORRECTIONAL HEALTHCARE",1,NA
"CORRECTIONAL INSTITUTIONS",1,NA
"CORRECTIONAL MENTAL HEALTH CARE",1,NA
"CORRECTIONAL NURSING",1,NA
"CORRECTIONAL PSYCHIATRY",2,NA
"CORRECTIONAL PSYCHOLOGY",2,NA
"CORRECTIONS",6,NA
"CORRELATION",3,2
"CORRELATION ALGORITHMS",1,NA
"CORRELATION ANALYSIS",2,NA
"CORRELATION COEFFICIENT",3,3
"CORRELATION OPTIMIZED WARPING",1,NA
"CORRELATION STUDY",1,NA
"CORRESPONDENCES ANALYSES",1,NA
"CORROSION",1,NA
"CORROSION CAST METHOD",1,NA
"CORROSION CASTS",1,NA
"CORROSIVE ACIDS",1,NA
"CORROSIVE AGENTS",1,NA
"CORROSIVE BURNS",1,1
"CORROSIVE INJURY",1,NA
"CORROSIVE POISON",1,NA
"CORROSIVES",2,NA
"CORRUPTION",1,NA
"CORRUPTION OFFENSES",1,NA
"CORRUPTION OFFENSES INVESTIGATION",1,NA
